Row Labels,Outstanding,Inbox,GPNA,REQS ,Todays Total,,,,,,,,,,
2/1/2020 7:03,28,8,20,,2,,,,,,,,,,
2/1/2020 7:22,32,8,20,4,2,,,,,,,,,,
2/1/2020 7:28,32,8,20,4,2,,,,,,,,,,
2/1/2020 7:33,32,8,20,4,2,,,,,,,,,,
2/1/2020 7:48,32,8,20,4,2,,,,,,,,,,
2/1/2020 7:53,32,8,20,4,2,,,,,,,,,,
2/1/2020 8:07,32,8,20,4,2,,,,,,,,,,
2/1/2020 8:13,32,8,20,4,2,,,,,,,,,,
2/1/2020 8:27,32,8,20,4,2,,,,,,,,,,
2/1/2020 8:33,32,8,20,4,2,,,,,,,,,,
2/1/2020 8:47,32,8,20,4,2,,,,,,,,,,
2/1/2020 8:57,32,8,20,4,2,,,,,,,,,,
2/1/2020 9:07,32,8,20,4,2,,,,,,,,,,
2/1/2020 9:13,32,8,20,4,2,,,,,,,,,,
2/1/2020 9:27,32,8,20,4,2,,,,,,,,,,
2/1/2020 9:33,32,8,20,4,2,,,,,,,,,,
2/1/2020 9:47,32,8,20,4,2,,,,,,,,,,
2/1/2020 9:53,33,9,20,4,2,,,,,,,,,,
2/1/2020 10:08,34,10,20,4,2,,,,,,,,,,
2/1/2020 10:13,34,10,20,4,2,,,,,,,,,,
2/1/2020 10:27,34,10,20,4,2,,,,,,,,,,
2/1/2020 10:33,34,10,20,4,2,,,,,,,,,,
2/1/2020 10:47,34,10,20,4,2,,,,,,,,,,
2/1/2020 10:53,34,10,20,4,3,,,,,,,,,,
2/1/2020 11:08,34,10,20,4,3,,,,,,,,,,
2/1/2020 11:13,34,10,20,4,3,,,,,,,,,,
2/1/2020 11:27,34,10,20,4,3,,,,,,,,,,
2/1/2020 11:33,34,10,20,4,3,,,,,,,,,,
2/1/2020 11:47,34,10,20,4,3,,,,,,,,,,
2/1/2020 11:53,34,10,20,4,3,,,,,,,,,,
2/1/2020 12:07,34,10,20,4,3,,,,,,,,,,
2/1/2020 12:14,34,10,20,4,3,,,,,,,,,,
2/1/2020 12:27,34,10,20,4,3,,,,,,,,,,
2/1/2020 12:33,34,10,20,4,3,,,,,,,,,,
2/1/2020 12:47,34,10,20,4,3,,,,,,,,,,
2/1/2020 12:53,34,10,20,4,3,,,,,,,,,,
2/1/2020 13:07,34,10,20,4,3,,,,,,,,,,
2/1/2020 13:14,34,10,20,4,3,,,,,,,,,,
2/1/2020 13:27,34,10,20,4,3,,,,,,,,,,
2/1/2020 13:33,34,10,20,4,3,,,,,,,,,,
2/1/2020 13:47,34,10,20,4,3,,,,,,,,,,
2/1/2020 13:53,34,10,20,4,3,,,,,,,,,,
2/1/2020 14:07,34,10,20,4,3,,,,,,,,,,
2/1/2020 14:14,34,10,20,4,3,,,,,,,,,,
2/1/2020 14:27,34,10,20,4,3,,,,,,,,,,
2/1/2020 14:33,34,10,20,4,3,,,,,,,,,,
2/1/2020 14:47,34,10,20,4,3,,,,,,,,,,
2/1/2020 14:53,34,10,20,4,3,,,,,,,,,,
2/1/2020 15:07,34,10,20,4,3,,,,,,,,,,
2/1/2020 15:13,34,10,20,4,3,,,,,,,,,,
2/1/2020 15:28,34,10,20,4,3,,,,,,,,,,
2/1/2020 15:33,34,10,20,4,3,,,,,,,,,,
2/1/2020 15:47,34,10,20,4,3,,,,,,,,,,
2/1/2020 15:53,34,10,20,4,3,,,,,,,,,,
2/1/2020 16:07,34,10,20,4,3,,,,,,,,,,
2/1/2020 16:13,34,10,20,4,3,,,,,,,,,,
2/1/2020 16:27,34,10,20,4,3,,,,,,,,,,
2/1/2020 16:34,34,10,20,4,3,,,,,,,,,,
2/1/2020 16:47,34,10,20,4,3,,,,,,,,,,
2/1/2020 16:57,34,10,20,4,6,,,,,,,,,,
